result;epochs;subset;metric;model;dataset;augmentation
0.8290620194771912;1;train;acc;VGGNet;Ramas224Binary;true
0.8295745771399282;2;train;acc;VGGNet;Ramas224Binary;true
0.8308559712967709;3;train;acc;VGGNet;Ramas224Binary;true
0.8334187596104562;4;train;acc;VGGNet;Ramas224Binary;true
0.8385443362378268;5;train;acc;VGGNet;Ramas224Binary;true
0.8385443362378268;6;train;acc;VGGNet;Ramas224Binary;true
0.844438749359303;7;train;acc;VGGNet;Ramas224Binary;true
0.8429010763710918;8;train;acc;VGGNet;Ramas224Binary;true
0.8526396719630959;9;train;acc;VGGNet;Ramas224Binary;true
0.8567401332649923;10;train;acc;VGGNet;Ramas224Binary;true
0.859046642747309;11;train;acc;VGGNet;Ramas224Binary;true
0.8621219887237315;12;train;acc;VGGNet;Ramas224Binary;true
0.8659661711942593;13;train;acc;VGGNet;Ramas224Binary;true
0.8708354689902614;14;train;acc;VGGNet;Ramas224Binary;true
0.8754484879548949;15;train;acc;VGGNet;Ramas224Binary;true
0.8744233726294208;16;train;acc;VGGNet;Ramas224Binary;true
0.8833931317273194;17;train;acc;VGGNet;Ramas224Binary;true
0.8299180327868853;1;valid;acc;VGGNet;Ramas224Binary;true
0.8278688524590164;2;valid;acc;VGGNet;Ramas224Binary;true
0.8299180327868853;3;valid;acc;VGGNet;Ramas224Binary;true
0.8442622950819673;4;valid;acc;VGGNet;Ramas224Binary;true
0.8452868852459017;5;valid;acc;VGGNet;Ramas224Binary;true
0.8381147540983607;6;valid;acc;VGGNet;Ramas224Binary;true
0.8258196721311475;7;valid;acc;VGGNet;Ramas224Binary;true
0.8217213114754098;8;valid;acc;VGGNet;Ramas224Binary;true
0.8596311475409836;9;valid;acc;VGGNet;Ramas224Binary;true
0.8442622950819673;10;valid;acc;VGGNet;Ramas224Binary;true
0.8524590163934426;11;valid;acc;VGGNet;Ramas224Binary;true
0.8596311475409836;12;valid;acc;VGGNet;Ramas224Binary;true
0.8657786885245902;13;valid;acc;VGGNet;Ramas224Binary;true
0.7899590163934426;14;valid;acc;VGGNet;Ramas224Binary;true
0.8524590163934426;15;valid;acc;VGGNet;Ramas224Binary;true
0.680327868852459;16;valid;acc;VGGNet;Ramas224Binary;true
0.8657786885245902;17;valid;acc;VGGNet;Ramas224Binary;true
0.45096049239732006;1;train;loss;VGGNet;Ramas224Binary;true
0.4287012235315441;2;train;loss;VGGNet;Ramas224Binary;true
0.4206691103400725;3;train;loss;VGGNet;Ramas224Binary;true
0.4009141821484881;4;train;loss;VGGNet;Ramas224Binary;true
0.3917961413435054;5;train;loss;VGGNet;Ramas224Binary;true
0.38252866853206113;6;train;loss;VGGNet;Ramas224Binary;true
0.375419662678199;7;train;loss;VGGNet;Ramas224Binary;true
0.36937619253099424;8;train;loss;VGGNet;Ramas224Binary;true
0.3562986616261002;9;train;loss;VGGNet;Ramas224Binary;true
0.34890363177906114;10;train;loss;VGGNet;Ramas224Binary;true
0.3489957059700632;11;train;loss;VGGNet;Ramas224Binary;true
0.3364899589244309;12;train;loss;VGGNet;Ramas224Binary;true
0.33152001075015075;13;train;loss;VGGNet;Ramas224Binary;true
0.3231977520387396;14;train;loss;VGGNet;Ramas224Binary;true
0.30477616081691167;15;train;loss;VGGNet;Ramas224Binary;true
0.3138592660213238;16;train;loss;VGGNet;Ramas224Binary;true
0.2975853154715485;17;train;loss;VGGNet;Ramas224Binary;true
0.4352450409873587;1;valid;loss;VGGNet;Ramas224Binary;true
0.4298317647371136;2;valid;loss;VGGNet;Ramas224Binary;true
0.41250125843970503;3;valid;loss;VGGNet;Ramas224Binary;true
0.41379823450182307;4;valid;loss;VGGNet;Ramas224Binary;true
0.40026689162019824;5;valid;loss;VGGNet;Ramas224Binary;true
0.4026985529993401;6;valid;loss;VGGNet;Ramas224Binary;true
0.4088238888099545;7;valid;loss;VGGNet;Ramas224Binary;true
0.4211314877525705;8;valid;loss;VGGNet;Ramas224Binary;true
0.38511891052371167;9;valid;loss;VGGNet;Ramas224Binary;true
0.4391365417691528;10;valid;loss;VGGNet;Ramas224Binary;true
0.3939603142073897;11;valid;loss;VGGNet;Ramas224Binary;true
0.3848389611869562;12;valid;loss;VGGNet;Ramas224Binary;true
0.38068949003688624;13;valid;loss;VGGNet;Ramas224Binary;true
0.4451820112642695;14;valid;loss;VGGNet;Ramas224Binary;true
0.44480952864787615;15;valid;loss;VGGNet;Ramas224Binary;true
0.6525260679057387;16;valid;loss;VGGNet;Ramas224Binary;true
0.37133167570927107;17;valid;loss;VGGNet;Ramas224Binary;true
0.23654536135315224;1;train;acc;VGGNet;Ramas224Descrete;true
0.2703741670937981;2;train;acc;VGGNet;Ramas224Descrete;true
0.29395181957970273;3;train;acc;VGGNet;Ramas224Descrete;true
0.3090722706304459;4;train;acc;VGGNet;Ramas224Descrete;true
0.32086109687339825;5;train;acc;VGGNet;Ramas224Descrete;true
0.3277806253203485;6;train;acc;VGGNet;Ramas224Descrete;true
0.3546899026140441;7;train;acc;VGGNet;Ramas224Descrete;true
0.35981547924141466;8;train;acc;VGGNet;Ramas224Descrete;true
0.38646847770374165;9;train;acc;VGGNet;Ramas224Descrete;true
0.3974884674525884;10;train;acc;VGGNet;Ramas224Descrete;true
0.4044079958995387;11;train;acc;VGGNet;Ramas224Descrete;true
0.4177344951307022;12;train;acc;VGGNet;Ramas224Descrete;true
0.4295233213736545;13;train;acc;VGGNet;Ramas224Descrete;true
0.4400307534597642;14;train;acc;VGGNet;Ramas224Descrete;true
0.455407483341876;15;train;acc;VGGNet;Ramas224Descrete;true
0.46796514607893386;16;train;acc;VGGNet;Ramas224Descrete;true
0.46591491542798563;17;train;acc;VGGNet;Ramas224Descrete;true
0.4974372116863147;18;train;acc;VGGNet;Ramas224Descrete;true
0.5187083546899026;19;train;acc;VGGNet;Ramas224Descrete;true
0.5246027678113788;20;train;acc;VGGNet;Ramas224Descrete;true
0.531009738595592;21;train;acc;VGGNet;Ramas224Descrete;true
0.5407483341875962;22;train;acc;VGGNet;Ramas224Descrete;true
0.5602255253716043;23;train;acc;VGGNet;Ramas224Descrete;true
0.5814966683751922;24;train;acc;VGGNet;Ramas224Descrete;true
0.5822655048692978;25;train;acc;VGGNet;Ramas224Descrete;true
0.17418032786885246;1;valid;acc;VGGNet;Ramas224Descrete;true
0.3165983606557377;2;valid;acc;VGGNet;Ramas224Descrete;true
0.2858606557377049;3;valid;acc;VGGNet;Ramas224Descrete;true
0.22131147540983606;4;valid;acc;VGGNet;Ramas224Descrete;true
0.29815573770491804;5;valid;acc;VGGNet;Ramas224Descrete;true
0.2735655737704918;6;valid;acc;VGGNet;Ramas224Descrete;true
0.3463114754098361;7;valid;acc;VGGNet;Ramas224Descrete;true
0.3442622950819672;8;valid;acc;VGGNet;Ramas224Descrete;true
0.38114754098360654;9;valid;acc;VGGNet;Ramas224Descrete;true
0.3165983606557377;10;valid;acc;VGGNet;Ramas224Descrete;true
0.382172131147541;11;valid;acc;VGGNet;Ramas224Descrete;true
0.319672131147541;12;valid;acc;VGGNet;Ramas224Descrete;true
0.4139344262295082;13;valid;acc;VGGNet;Ramas224Descrete;true
0.39344262295081966;14;valid;acc;VGGNet;Ramas224Descrete;true
0.3801229508196721;15;valid;acc;VGGNet;Ramas224Descrete;true
0.44364754098360654;16;valid;acc;VGGNet;Ramas224Descrete;true
0.38831967213114754;17;valid;acc;VGGNet;Ramas224Descrete;true
0.45901639344262296;18;valid;acc;VGGNet;Ramas224Descrete;true
0.4395491803278688;19;valid;acc;VGGNet;Ramas224Descrete;true
0.4456967213114754;20;valid;acc;VGGNet;Ramas224Descrete;true
0.44774590163934425;21;valid;acc;VGGNet;Ramas224Descrete;true
0.46209016393442626;22;valid;acc;VGGNet;Ramas224Descrete;true
0.44364754098360654;23;valid;acc;VGGNet;Ramas224Descrete;true
0.4959016393442623;24;valid;acc;VGGNet;Ramas224Descrete;true
0.4774590163934426;25;valid;acc;VGGNet;Ramas224Descrete;true
